cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
790000,4690000,2486,17875,2486,34359740766,17721622322,985163178798918,466775326,53853192,844425033783584,60303499166,64578514926,172467340
16850000,41630000,732710858,530611311,143112,14285806933537,14056938179,4222124984199357,587405900,21854464,70871761,42566022232,48953073460,172467340
57280000,131410000,2857484947,2645405348,591314,16929469687888,16189019839,1548112849555847,280854599,24830786,63749705,46650799579,58308513627,172467340
40200000,129230000,2725763023,2542634776,568614,61751632845498,16861557541,3096225335706980,580577315,26357541,140737567734162,53270807301,60319237215,172467340
26240000,90850000,1495575308,1250696064,337957,11233043247934,14347019784,2533275380053995,383712686,24170923,67419215,39303612675,51024519156,172467340
44140000,122010000,2692207911,2536263354,550853,60772312555787,18477452312,2674012928147477,485618981,40750065,91547949,58455556494,66512155315,172467340
65210000,129440000,2752204024,2587927485,571552,29509330155756,14958186328,3236962609860100,578464293,22870305,703687516691421,44730277401,52547602206,172467340
71920000,123620000,2778406246,2582729984,565978,15219966906233,17152583526,1266638089687134,265184181,40111362,82871497,49981758602,61391297098,172467340
39040000,87970000,1718299912,1722162877,336499,8853637194751,18768276871,3940650357469471,765536500,32420164,281475075961224,58934982396,65864100332,172467340
73420000,128160000,2910707764,2677772454,595217,436843771262,16173170907,2251800509304114,307888375,28984220,140737563732716,42854252365,57507974319,172467340
77070000,125770000,2832834256,2628759345,583804,372350213736,18299083855,1125900667050367,507354339,36017998,844425024566940,60090615701,67022406208,172467340
58550000,114900000,2468123152,2422174911,481634,12702692846587,14428751640,4362862476526940,536902899,21024479,70489553,40078544268,49815646711,172467340
34690000,86050000,1368996040,1131722291,309478,11718212259390,15872099539,703688175858065,228516994,35113446,70488685,48681957877,59927410030,172467340
68470000,135450000,2929791743,2745973941,597942,552831726686,15831996143,2251800499523837,653693049,26167551,1688849936598330,50955680931,55569738114,172467340
63860000,132790000,2812804757,2635978140,588570,21971778061019,12733436104,2251800060855486,274949189,9966426,32412033,33547321929,46233625268,172467340
37310000,89970000,1651423612,1660941144,322825,4988097430926,16059468477,985163288830285,210842000,30898716,62526134,46483487909,60178505663,172467340
53970000,107200000,2021010840,1793181659,435246,15545700215503,16112222055,2814750404680206,652206787,30926571,844425010178255,52871358207,56899532870,172467340
74090000,132140000,2887426666,2653408200,591978,12213628846250,12646940266,2392537167607126,273972344,9708047,140737519804519,33395060489,45700147722,172467340
72020000,124170000,2737403622,2520681646,562298,410898143142,16383181934,703688420143182,201651995,23516890,54954118,46077317980,61369945370,172467340
17950000,63900000,732367213,746040025,147365,5738802523163,16075902745,3377700480619118,628779100,22524085,140737561915332,50534388885,57306522033,172467340
59990000,116480000,2362316322,2087569062,491930,7076308987898,12480908584,1688850126977014,322096776,12699212,844424970101135,33941379437,45283437865,172467340
72970000,134660000,2922543143,2714783926,600394,6239367340263,15738298050,1125900528210697,204825345,31067848,60602387,46921942022,59300366308,172467340
71770000,131350000,2943901606,2731729737,600366,905022395489,16261018301,3236962898743499,676509163,31189912,83735076,53354430516,57212511824,172467340
58240000,120060000,2571780923,2390963726,559336,2588269008686,13086460156,1829587372178825,272266022,9514152,844424961716678,33963528998,46987186985,172467340
13230000,63890000,442246439,260977300,148512,6863973337897,16505387029,703688316351195,227677783,34043425,68624736,48654013650,61768602062,172467340
67890000,140490000,2886982037,2699211134,638824,12119141452343,16592748935,3940650403974765,748837882,33356695,91887205,55276111196,58306837713,172467340
68310000,129000000,2884771269,2695243694,644085,7587966478601,12030505452,1688849827028869,184104155,5585507,844424947998333,30222745680,43249109782,172467340
48060000,100610000,2122066899,2135121721,439292,10365874016031,15571043408,844425891424496,184860316,14984323,40672214,40284459636,58017253357,172467340
31770000,79770000,1101879679,908888056,282240,6074345673524,17863011009,2392538058747264,702517354,31463373,844425015811627,60594569861,63662894844,172467340
2690000,10170000,477343,11483,211649,163209055086,10634797962,2674011957788925,261941863,7828497,140737514856178,28011062324,38031471374,172467340
2980000,9070000,255514,281934,24967,137439203858,15449168736,703688480286753,137085265,10143703,29970739,38364600362,57106873569,172467340
5910000,19910000,1231199,1230266,1674723,227633320883,18357934652,1829588192812587,577906276,23315807,844425006320820,58163097091,65866389684,172467340
2290000,13680000,966097,960466,948738,103079224094,11174029904,3659174513598124,411953607,10267060,39583874,31225843389,39186015771,172467340
