cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
170000,2910000,106617189,97879402,0,114984370,2906968,349521,621108,3112,29870,11472762,10753267,37372
230000,3970000,173946538,166263704,0,181937432,166412111,22255481,38823683,40169,1775851,658349347,604691030,37372
260000,4050000,175241263,166644528,0,180696696,162880912,22202643,39006246,48468,1799615,656447108,592028402,37372
290000,4120000,174779138,167071688,0,183064512,183832011,23291047,40421260,38537,1789353,714169079,679278480,37372
250000,4120000,175217882,166850144,0,180324024,169239246,22593099,39645354,37078,1768363,670565397,616481251,37372
110000,1200000,55142509,56468112,0,53492016,164618548,22028465,38637937,35273,1703002,650241596,599166668,37372

