cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
320000,1140000,0,0,0,0,4672131904,305044,648865,41249,133926,23329318029,21317682646,1095344
240000,1320000,0,0,0,0,24373948613,1361763,4604782,108221,377445,122038254622,111371663141,1095344
420000,1460000,0,0,0,0,31839532050,948030,6766207,63529,314986,159229834468,145513138776,1095344
250000,950000,0,0,0,0,31529753555,1852702,7075765,128991,470552,157901329280,144077348729,1095344
220000,1000000,0,0,0,0,31582271332,1326981,6838804,91237,366475,158044618089,144329516898,1095344
160000,590000,4,0,0,0,31765518174,1325023,6902825,92002,381711,158941260803,145166479127,1095344

